"","Hc","Hw","SE_Hw"
"Japan, Nagasaki",0.737699753814828,0.715014293034974,0.0165597531844883
"Japan, Tokyo",0.794916425574331,0.744409038293937,0.0163329327548428
"Kazakhstan, Kazalinsk",0.609384050910508,0.655481375512,0.0180141558112163
"Luxembourg, Luxembourg",0.675195359207281,0.658218036458452,0.0144414244789842
"New Zealand, Wellington",0.773810110173204,0.751842102686391,0.0170911173566482
"Norway, Andoya",0.72323974873447,0.725266628960484,0.0158219504966298
"Norway, Bergen",0.678100830967096,0.686860843936408,0.0151949821995641
"Norway, Bodo",0.680314662110305,0.697836402726244,0.0157421475090102
"Norway, Dombas",0.632675274857908,0.663607277229487,0.0154926250801589
"Norway, Karasjok",0.654708328148044,0.679392332021517,0.0161393929989221
"Norway, Mandal",0.681503302967338,0.723609113553481,0.0157229292939662
"Norway, Oksoy Lighthouse",0.719393872857075,0.771483855055362,0.0160418803300481
"Norway, Ona",0.711203373169646,0.749050215017545,0.0159837511312284
"Norway, Oslo",0.693266078648344,0.72444628122158,0.0135683412035705
"Norway, Roros",0.666936036174564,0.695089837645113,0.0158995989060447
"Norway, Tromso",0.66982462192431,0.690472130986025,0.0157208394973711
"Norway, Utsira",0.734972595678238,0.767865004536981,0.0159225343622921
"Norway, Vardo",0.764732145927736,0.751222460647844,0.0155772038591996
"Pakistan, Lahore",0.64936491814888,0.692909811327992,0.0162449981591766
"Portugal, Lisbon",0.768610279177774,0.710459603660252,0.016776270327675
"Romania, Sulina",0.652932859239576,0.699465601229765,0.016792726634616
"Russia, Archangelsk",0.675224161380998,0.661120902844869,0.0164032664965038
"Russia, Sort",0.639543778168351,0.693512483150695,0.0182401285125879
"Russia, St Petersburg",0.696638597966694,0.695631980467702,0.0167101802027929
"Spain, Gibraltar",0.773366330912543,0.765138510618205,0.0154357649681216
"Sweden, Bromma",0.693673651051379,0.735859299724193,0.0119345251915965
"Sweden, Stockholm",0.68136040000952,0.721325612117776,0.012062385444198
"Sweden, Tullinge",0.671683832141052,0.727237487981159,0.011952894136957
"Sweden, Uppsala",0.690384852463582,0.717899655458329,0.011412706781312
"Switzerland, Basel",0.624704565972533,0.622268729732651,0.011775784032295
"Switzerland, Geneva",0.693343982957303,0.667497833441912,0.0117694767624422
"UK, Aberdeen",0.690534583971741,0.703540904163698,0.0165265195366985
"UK, Belfast",0.649617418683822,0.66508422805187,0.0164373364467163
"UK, Cambridge",0.6781947759429,0.67264524586828,0.015841133322534
"UK, Durham",0.697985354057446,0.68555574258618,0.0146903577970939
"UK, Edinbourg",0.643791101819607,0.669554680393062,0.0130443522028952
"UK, London",0.721392812721599,0.68553364515412,0.0148593469251047
"UK, Plymouth",0.624274348098705,0.676278826924797,0.0166491794215666
"USA, Atlanta",0.632098739252151,0.64076028064532,0.0163221886348539
"USA, Bismarck",0.65486176327968,0.640340711255388,0.0163206835283702
"USA, Boise",0.654363772684193,0.656313593839966,0.0163714330816877
"USA, Boston",0.693439100267466,0.670302902501467,0.0164181437974115
"USA, Chattanooga",0.637059797553695,0.647389469922564,0.0163405434769692
"USA, Cincinatti",0.65553505791097,0.644810173419057,0.0163417842442675
"USA, Columbus",0.629180340158862,0.630620987674623,0.0162801077058125
"USA, Concord",0.68709546521094,0.662186045947944,0.0163912869875024
"USA, Des Moines",0.625598057843013,0.631980431562082,0.0162851273861115
"USA, Detroit",0.658634583231437,0.653345670807803,0.0163612535492189
"USA, Dodge City",0.626331044670206,0.61124449646619,0.0162112854368389
"USA, Fargo",0.655939615380891,0.655068355924735,0.0163671714949205
"USA, Galveston",0.662101684493328,0.68808770281426,0.0165216900403483
"USA, Indianapolis",0.610912054017588,0.622013087778956,0.016247820870049
"USA, Jacksonville",0.607829769764749,0.650855581771529,0.0163629824332823
"USA, Knoxville",0.624486044227698,0.629576938446083,0.0162813813139502
"USA, Las Vegas",0.642899405294777,0.646819069392151,0.0172024218165404
"USA, Madison",0.641397661479209,0.64747761293389,0.016340856417519
"USA, Marquette",0.688414668441588,0.686039108708822,0.016631966007705
"USA, Milwaukee",0.68940688253021,0.675831293484816,0.0164360442628656
"USA, Mobile",0.617035821582919,0.650931544411691,0.0163529097512514
"USA, Nashville",0.581444977120305,0.603021559903411,0.0161784922083285
"USA, New Orleans",0.696140753681698,0.695454716335107,0.0165128280792834
"USA, New York",0.745108549818609,0.698517049046005,0.0139228244886783
