"Country","Station","Status","From","To","Length","Missing"
"belgia","uccle2","OK","1881","2010","130","1"
"belgia","uccle","OK","1833","2008","176","1"
"brasil","belem","OK","1949","2009","61","4"
"brasil","brasilia","OK","1963","2009","47","1"
"brasil","conceicao_do_araguaya","OK","1960","2009","50","2"
"brasil","corumba","OK","1950","2009","60","14"
"brasil","cruzeiro_do_sul","OK","1960","2009","50","13"
"brasil","cuiaba","OK","1901","2008","108","2"
"brasil","curitiba","ERROR","NA","NA","NA","NA"
"brasil","manaus","OK","1928","2009","82","3"
"brasil","porto_alegre","OK","1949","2009","61","4"
"brasil","porto_velho","OK","1957","2008","52","8"
"brasil","quiexeramobin","OK","1896","2009","114","6"
"brasil","rio_branco","OK","1975","2009","35","4"
"brasil","rio_de_janeiro","OK","1883","1989","107","1"
"brasil","salvador","ERROR","NA","NA","NA","NA"
"brasil","sao_gabriel","OK","1931","2009","79","8"
"brasil","sao_paulo","OK","1887","2009","123","2"
"bulgaria","sofia","OK","1951","2012","62","1"
"bulgaria","varna","OK","1960","2012","53","4"
"burkina_faso","bobo_dioulasso","OK","1941","2010","70","2"
"burkina_faso","ouahigouya","OK","1961","2010","50","3"
"burkina_faso","ougadougou","OK","1941","2010","70","3"
"canada","alert2","ERROR","NA","NA","NA","NA"
"canada","alert3","ERROR","NA","NA","NA","NA"
"canada","alert4","ERROR","NA","NA","NA","NA"
"canada","alert_august","ERROR","NA","NA","NA","NA"
"canada","alert_februar","ERROR","NA","NA","NA","NA"
"canada","alert_januar","ERROR","NA","NA","NA","NA"
"canada","alert_juli","ERROR","NA","NA","NA","NA"
"canada","alert_juni","ERROR","NA","NA","NA","NA"
"canada","alert_mai","ERROR","NA","NA","NA","NA"
"canada","alert_ny","ERROR","NA","NA","NA","NA"
"canada","alert_september","ERROR","NA","NA","NA","NA"
"canada","alert","OK","1950","2012","63","2"
"canada","baker_lake","OK","1946","2012","67","4"
"canada","calgary","OK","1884","2012","129","2"
"canada","cambridge_bay","OK","1929","2012","84","11"
"canada","chesterfield","OK","1921","1980","60","4"
"canada","churchild","OK","1884","2012","129","31"
"canada","clyde","OK","1933","2012","80","13"
"canada","coppermine","OK","1930","2011","87","10"
"canada","coral_harbour","OK","1933","2012","80","12"
"canada","dawson","ERROR","NA","NA","NA","NA"
"canada","edmonton","ERROR","NA","NA","NA","NA"
"canada","eureka2","OK","1947","2006","60","3"
"canada","eureka","OK","1947","2012","66","3"
"canada","fort_chimo","OK","1941","2012","72","4"
"canada","fort_nelson","OK","1937","2012","76","2"
"canada","fort_simpson","OK","1895","NA","119","14"
"canada","fort_smith","OK","1928","2012","85","1"
"canada","frobisher_bay","OK","1942","2012","71","2"
"canada","gander","OK","1937","2012","76","1"
"canada","goose_bay","OK","1941","2012","72","2"
"canada","halifax","OK","1953","2012","60","8"
"canada","hall_beach","ERROR","NA","NA","NA","NA"
"canada","inukjuak","OK","1921","2012","92","9"
"canada","inuvik","OK","1957","2012","56","4"
"canada","mackensey","OK","1950","1978","29","0"
"canada","montreal","ERROR","NA","NA","NA","NA"
"canada","moosonee","ERROR","NA","NA","NA","NA"
"canada","norman_wells","OK","1943","2012","70","2"
"canada","prince_george","OK","1912","2012","101","2"
"canada","quebec-1","OK","1943","1990","48","1"
"canada","quebec-2","OK","1881","1959","79","1"
"canada","quebec","OK","1998","2012","15","1"
"canada","resolute_bay","OK","1947","2012","66","2"
"canada","sable_island","OK","1897","2012","116","5"
"canada","salt_stmarie","OK","1888","2011","124","2"
"canada","sandspit","OK","1945","2012","68","7"
"canada","st_johns","OK","1897","2011","115","10"
"canada","the_pas","OK","1910","2012","103","3"
"canada","thunderbay","OK","1941","2004","64","13"
"canada","toronto_1880","ERROR","NA","NA","NA","NA"
"canada","toronto-1949-2001","ERROR","NA","NA","NA","NA"
"canada","toronto","ERROR","NA","NA","NA","NA"
"canada","vancouver","OK","1937","2012","76","1"
"canada","whitehorse","OK","1942","2012","71","3"
"canada","winnipeg","OK","1881","2012","132","3"
"canada","yellowknife","OK","1943","2012","70","3"
"chile","antofagasta","OK","1951","2011","61","1"
"chile","balmaceda","OK","1958","2011","54","14"
"chile","conception","OK","1951","2011","61","12"
"chile","la_serena","OK","1941","2011","71","3"
"chile","pudahuel","OK","1903","2011","109","7"
"chile","puerto_montt","OK","1951","2011","61","1"
"chile","punta_arenas","OK","1888","2011","124","1"
"chile","temoco","OK","1951","2011","61","12"
"chile","temuco","OK","1951","2011","61","12"
"china","beijing","ERROR","NA","NA","NA","NA"
"china","changsha","OK","1911","1988","78","11"
"china","dalian","ERROR","NA","NA","NA","NA"
"china","dulan","OK","1954","2012","59","2"
"china","ganzhou","OK","1939","2012","74","7"
"china","guangzhou","OK","1912","2012","101","6"
"china","haikou","OK","1928","2012","85","6"
"china","harbin","OK","1909","1990","82","5"
"china","hotan","OK","1942","2012","71","4"
"china","jiukuan","OK","1934","2012","79","2"
"china","kashi","OK","1958","2012","55","2"
"china","kunming","OK","1921","2012","92","9"
"china","lasa-raa","ERROR","NA","NA","NA","NA"
"china","lhasa_nasa","ERROR","NA","NA","NA","NA"
"china","lhasa_nyeste","OK","1955","2007","53","1"
"china","lhasa","OK","1935","1992","58","13"
"china","lushun","OK","1906","1944","39","0"
"china","nanchang","OK","1929","2012","84","10"
"china","nanjing","OK","1952","2012","61","15"
"china","nanning","OK","1922","2012","91","7"
"china","qigihar","OK","1950","2012","63","2"
"china","quingdao","OK","1898","2012","115","5"
"china","ruokiang","OK","1953","2012","60","1"
"china","shanghai","ERROR","NA","NA","NA","NA"
"china","shantou","OK","1924","2012","89","11"
"china","shenyang","OK","1905","2012","108","6"
"china","taiyuan","OK","1916","2012","97","9"
"china","tengshong","OK","1916","2012","97","13"
"china","tianjin","OK","1923","1990","68","1"
"china","turpan","OK","1951","1990","40","1"
"china","urumki","OK","1907","2012","106","32"
"china","wuhan2","ERROR","NA","NA","NA","NA"
"china","wuhan","ERROR","NA","NA","NA","NA"
"china","xian","OK","1922","2005","84","7"
"china","xichang","OK","1939","2012","74","4"
"china","yanji","OK","1914","2012","99","22"
"china","yantai","OK","1905","1988","84","9"
"china","yinchuan","OK","1950","2012","63","3"
"china","yining","OK","1951","2012","62","2"
"china","zhengzhou","OK","1950","2012","63","2"
"china","zhijiang","OK","1938","2012","75","6"
"colombia","bogota","ERROR","NA","NA","NA","NA"
"colombia","cartagena","OK","1959","2009","51","2"
"danmark","bornholm","OK","1874","2012","139","1"
"danmark","kobenhavn_1700_1800","ERROR","NA","NA","NA","NA"
"danmark","kobenhavn","ERROR","NA","NA","NA","NA"
"danmark","nordby","OK","1875","2012","138","2"
"danmark","tranebjerg","OK","1873","2012","140","1"
"danmark","vestervig","OK","1875","2012","138","1"
"egypt","alexandria","OK","1870","1990","121","10"
"egypt","aswan","OK","1904","2009","106","4"
"egypt","cairo","OK","1869","1995","127","37"
"egypt","helwan","ERROR","NA","NA","NA","NA"
"egypt","luxor","ERROR","NA","NA","NA","NA"
"egypt","mersa_matruh","OK","1950","2009","60","5"
"equador","quito","OK","1891","1990","100","10"
"estland","pyarnu","OK","1936","2010","75","1"
"estland","tallin_1","OK","1881","2010","130","7"
"estland","tallin_2","OK","1934","2010","77","3"
"estland","tallin_3(2)","OK","1936","2010","75","1"
"estland","tallin_3","OK","1936","2010","75","1"
"etiopia","addis_abeba","OK","1898","2010","113","40"
"etiopia","gondar","OK","1952","2010","59","13"
"faroyene","torshavn","OK","1890","2012","123","1"
"filipinene","dagupan","OK","1951","2010","60","3"
"filipinene","laoag","OK","1951","2010","60","8"
"filipinene","legaspi","OK","1903","2010","108","7"
"filipinene","manila_aeroport","OK","1950","2008","59","4"
"filipinene","manila","OK","1887","1993","107","13"
"filipinene","tacloban","OK","1949","2010","62","2"
"filipinene","zamboanga","OK","1951","2010","60","3"
"finland","helsinki","OK","1890","2012","123","3"
"finland","ivalo","OK","1947","2011","65","2"
"finland","jyveskyle","OK","1890","2012","123","4"
"finland","kuopio","OK","1890","2012","123","6"
"finland","kuusamo","OK","1908","2012","105","6"
"finland","lappeenranta","OK","1890","2012","123","5"
"finland","oulu2","ERROR","NA","NA","NA","NA"
"finland","oulu","OK","1890","2011","145","24"
"finland","rovaniemi","ERROR","NA","NA","NA","NA"
"finland","rov","ERROR","NA","NA","NA","NA"
"finland","ruukki","OK","1971","2009","39","8"
"finland","sodankyle","OK","1908","2012","105","3"
"finland","tampere","OK","1890","2012","123","4"
"finland","turku","ERROR","NA","NA","NA","NA"
"finland","utti","OK","1971","2009","39","8"
"frankrike","ajaccio","OK","1951","2009","59","1"
"frankrike","biaritz","OK","1956","2009","54","1"
"frankrike","bordeaux","OK","1949","2009","61","1"
"frankrike","bourges","OK","1949","2009","61","1"
"frankrike","brest","OK","1955","2009","55","2"
"frankrike","chateauroux","OK","1921","2009","89","1"
"frankrike","cognac","OK","1947","2009","63","1"
"frankrike","dijon","OK","1951","2009","59","1"
"frankrike","limoges","OK","1951","2009","59","1"
"frankrike","lyon","OK","1851","2009","159","22"
"frankrike","marseille","OK","1881","2009","129","4"
"frankrike","mont_aigoual","OK","1949","2009","61","1"
"frankrike","nantes","OK","1851","2009","159","1"
"frankrike","nice","OK","1951","2009","59","1"
"frankrike","nimes","OK","1925","2009","85","8"
"frankrike","paris","OK","1757","2009","253","1"
"frankrike","perpignan","OK","1881","2009","129","32"
"frankrike","rennes","OK","1925","2009","85","1"
"frankrike","strasbourg","OK","1801","2009","209","55"
"frankrike","toulouse","OK","1839","2009","171","49"
"frankrike","vichy_charmeil","OK","1956","2009","54","1"
"golfstrommen","andoya","OK","1868","2009","142","2"
"golfstrommen","bjornoya","OK","1920","2009","106","17"
"golfstrommen","bodo6","OK","1868","2009","142","1"
"golfstrommen","draugen","ERROR","NA","NA","NA","NA"
"golfstrommen","ekkofisk","ERROR","NA","NA","NA","NA"
"golfstrommen","fruholmen_fyr","OK","1954","2009","56","2"
"golfstrommen","glomfjord","OK","1916","2009","94","2"
"golfstrommen","gullfaks_c","ERROR","NA","NA","NA","NA"
"golfstrommen","heidrun","ERROR","NA","NA","NA","NA"
"golfstrommen","kraakenes","OK","1924","2009","86","34"
"golfstrommen","lerwick","ERROR","NA","NA","NA","NA"
"golfstrommen","mike","ERROR","NA","NA","NA","NA"
"golfstrommen","nordoyan_fyr","OK","1891","2009","119","32"
"golfstrommen","norne","ERROR","NA","NA","NA","NA"
"golfstrommen","ona2","OK","1868","2009","142","7"
"golfstrommen","orland3","OK","1936","2009","74","1"
"golfstrommen","skrova_fyr","OK","1934","2009","76","1"
"golfstrommen","sleipner_a","ERROR","NA","NA","NA","NA"
"golfstrommen","slettnes_fyr","OK","1927","2009","83","15"
"golfstrommen","stornoway","ERROR","NA","NA","NA","NA"
"golfstrommen","svinoy_fyr","OK","1956","2009","54","1"
"golfstrommen","torshavn","OK","1890","2009","120","1"
"golfstrommen","troll_a","ERROR","NA","NA","NA","NA"
"golfstrommen","utsira_fyr","OK","1868","2009","142","1"
"golfstrommen","valentia","OK","1881","2009","129","1"
"golfstrommen","vestmannaoyene","OK","1878","2009","132","1"
"golfstrommen","vigra","OK","1958","2009","52","2"
"gronland","angmassalik","OK","1895","2012","118","4"
"gronland","danmarks_havn","OK","1949","2012","64","4"
"gronland","egedesminde_gml","OK","1949","2011","63","2"
"gronland","egedesminde","ERROR","NA","NA","NA","NA"
"gronland","illulisat","OK","1873","2012","140","2"
"gronland","ittoqqortoormiit","OK","1954","2012","59","2"
"gronland","ivittuut","OK","1873","1960","88","0"
"gronland","narsarsuaq","OK","1961","2004","44","1"
"gronland","nook_nasa","OK","1881","2012","132","7"
"gronland","nook","ERROR","NA","NA","NA","NA"
"gronland","nord","OK","1952","2012","61","25"
"gronland","prince_christian_sund","OK","1949","2012","64","4"
"gronland","tasiilaq","OK","1895","2012","118","1"
"gronland","upernavik","OK","1873","2012","140","2"
"hellas","athen_obs2","OK","1947","2006","60","2"
"hellas","athen_observa2","OK","1947","2006","60","2"
"hellas","athen_obs","OK","1858","2009","152","1"
"hellas","herakleon","OK","1949","2009","61","2"
"hellas","kalamata","OK","1951","2009","59","1"
"hellas","kekyra","OK","1950","2009","60","2"
"hellas","larissa","OK","1936","2009","74","2"
"hellas","thessaloniki","OK","1939","2009","71","2"
"hviterussland","minsk","OK","1891","2012","122","2"
"india","agra","OK","1881","1987","107","3"
"india","ahmadabad","OK","1941","2012","72","1"
"india","akola","OK","1881","2012","132","1"
"india","allahabad","OK","1881","2012","132","5"
"india","amritsar","OK","1948","2012","65","2"
"india","bangalore","OK","1881","2012","132","2"
"india","bikaner","OK","1881","2012","132","3"
"india","bombay","OK","1881","2012","132","1"
"india","calcutta","OK","1881","2012","132","1"
"india","cherrapunji","OK","1903","2012","110","17"
"india","daltonganj","OK","1893","2012","120","10"
"india","darbhanga","OK","1876","1993","118","29"
"india","dhubri","OK","1881","1984","104","24"
"india","dibrugarh","OK","1901","2012","112","3"
"india","dwarka","OK","1901","2012","112","8"
"india","gauhati","OK","1902","2012","111","3"
"india","goa","OK","1961","2012","52","1"
"india","hyderabad","OK","1893","2012","120","1"
"india","indore","OK","1881","2012","132","1"
"india","jagdalpur","OK","1909","2012","104","2"
"india","jaipur","OK","1881","1990","110","23"
"india","jodhpur","OK","1897","2012","116","2"
"india","kota","OK","1898","1993","96","23"
"india","ludhiana","OK","1875","1984","110","23"
"india","madras","OK","1881","2012","132","1"
"india","muktesvar","OK","1897","2012","116","5"
"india","nagpur","OK","1881","2011","131","1"
"india","new_dehli","OK","1931","2012","82","1"
"india","pamban","OK","1891","2012","122","1"
"india","poona","OK","1931","2012","82","1"
"india","sagar","OK","1881","2012","132","2"
"india","silchar","OK","1870","1974","105","6"
"india","srinagar","OK","1893","2012","120","1"
"india","veraval","OK","1890","2012","123","3"
"indiske_hav","agalega","OK","1951","2009","59","2"
"indiske_hav","cocos_island","OK","1949","2009","61","1"
"indiske_hav","crozet","OK","1965","2009","45","14"
"indiske_hav","diego_garcia","OK","1954","2002","49","4"
"indiske_hav","kerguelen","OK","1950","2009","60","9"
"indiske_hav","marion_island","OK","1948","2009","62","2"
"indiske_hav","minicoy_maldivene","OK","1931","2009","79","1"
"indiske_hav","plaisance_mauritius","OK","1952","2009","58","2"
"indiske_hav","rodriguez","OK","1951","2009","59","2"
"indiske_hav","seychellene","OK","1894","2009","116","6"
"indonesia","jacarta","ERROR","NA","NA","NA","NA"
"irak","bagdad","OK","1888","1980","93","29"
"irak","basra","OK","1920","1980","61","22"
"irak","kirkuk","OK","1939","1980","42","13"
"irak","mosul","OK","1926","1980","55","15"
"irland","dublin","ERROR","NA","NA","NA","NA"
"irland","shannon","OK","1948","2009","62","0"
"irland","valentia","OK","1881","2009","129","0"
"island","aedoy","ERROR","NA","NA","NA","NA"
"island","akureyri","OK","1882","2012","131","1"
"island","dalatangi","ERROR","NA","NA","NA","NA"
"island","grimstadir","OK","1931","2012","82","1"
"island","hell","OK","1931","2011","81","1"
"island","holar_hornafirdi","OK","1949","2011","63","0"
"island","hraun_a_skaga","ERROR","NA","NA","NA","NA"
"island","raufarhofn","OK","1931","2009","79","1"
"island","reykjavik","OK","1870","2012","143","1"
"island","stykkisholmur","OK","1830","2012","183","1"
"island","teigarhorn","OK","1873","2009","137","4"
"island","vestmannaoyene","OK","1878","2012","135","1"
"israel","eilat","OK","1951","2009","59","1"
"israel","jerusalem","OK","1861","2004","144","13"
"israel","tel_aviv_lod","ERROR","NA","NA","NA","NA"
"italia","bologna","OK","1814","2009","195","1"
"italia","brindisi","OK","1951","2009","59","1"
"italia","cagliari","OK","1951","2009","59","1"
"italia","lugano","OK","1949","2007","59","1"
"italia","marina_di_ginosa","OK","1967","2009","43","2"
"italia","messina","OK","1951","2009","59","6"
"italia","milano_gml","OK","1763","1990","228","17"
"italia","milano","OK","1763","2009","246","1"
"italia","napoli","OK","1866","1990","125","36"
"italia","pisa","OK","1949","2009","61","3"
"italia","roma_ciampino","OK","1951","2009","59","1"
"italia","roma_fiumicino","OK","1811","1993","183","15"
"italia","torino","OK","1753","1990","238","82"
"italia","trapani","OK","1961","2009","49","2"
"italia","trieste","OK","1951","2009","59","1"
"italia","venezia","OK","1951","1990","40","1"
"italia","verona_villafranca","OK","1951","2009","59","1"
"japan","abashiri","OK","1925","2012","88","1"
"japan","akita","OK","1919","2012","94","2"
"japan","aomori","OK","1922","2012","91","2"
"japan","asahigawa","OK","1914","2012","99","2"
"japan","choshi","OK","1902","2012","111","2"
"japan","fukuoka","OK","1890","2012","123","1"
"japan","hakodate","OK","1929","2012","84","2"
"japan","hiroshima_gml","OK","1881","2005","125","0"
"japan","hiroshima","ERROR","NA","NA","NA","NA"
"japan","isuhara","OK","1886","2012","127","2"
"japan","kanazawa","OK","1886","2012","127","1"
"japan","kyoto","OK","1881","2005","125","24"
"japan","maebashi","OK","1897","2012","116","3"
"japan","matsumoto","OK","1898","2007","110","0"
"japan","matsuyama","OK","1890","2012","123","5"
"japan","miyako","OK","1922","2007","86","1"
"japan","nagasaki","OK","1881","2012","132","1"
"japan","nagoya","OK","1891","2012","122","1"
"japan","nemuro","OK","1923","2012","90","2"
"japan","niigata","ERROR","NA","NA","NA","NA"
"japan","obihiro","OK","1907","1990","84","1"
"japan","oita","OK","1887","2012","126","1"
"japan","onahama","OK","1910","2008","99","1"
"japan","osaka","OK","1883","2012","130","1"
"japan","sapporo","ERROR","NA","NA","NA","NA"
"japan","sendai","OK","1927","2012","86","1"
"japan","shionomisaki","OK","1913","2012","100","1"
"japan","takamatsu","OK","1941","2012","72","2"
"japan","tokyo","ERROR","NA","NA","NA","NA"
"japan","wakkanai","OK","1938","2012","75","1"
"jordan","h-4irwaishe","ERROR","NA","NA","NA","NA"
"jordan","maan","OK","1961","2009","49","1"
"kasakstan","almaty","OK","1956","2009","54","2"
"kasakstan","balhash","OK","1932","2009","78","3"
"kasakstan","fort_cevcenko","OK","1908","2009","102","11"
"kasakstan","gurjev","OK","1926","2009","84","11"
"kasakstan","karaganda","OK","1936","2009","74","1"
"kasakstan","kazalinsk","OK","1881","1990","110","1"
"kasakstan","kustanai","OK","1902","2009","108","4"
"kasakstan","sam","OK","1946","2009","64","4"
"kasakstan","semipalatinsk","OK","1891","2009","119","12"
"kenya","nairobi","ERROR","NA","NA","NA","NA"
"korea_n","haeju","OK","1961","2012","52","12"
"korea_n","hyesan","OK","1961","2012","52","12"
"korea_n","kimchaek","OK","1961","2012","52","12"
"korea_n","pyong2","OK","1907","1993","87","40"
"korea_n","pyongyang","OK","1935","2011","77","28"
"korea_n","sinuiju","OK","1961","2012","52","12"
"korea_n","wonsan","OK","1961","2012","52","12"
"korea_s","kangnung","OK","1920","2012","93","2"
"korea_s","mokbo","OK","1915","2012","98","2"
"korea_s","pohang","OK","1949","2012","64","2"
"korea_s","pusan2","ERROR","NA","NA","NA","NA"
"korea_s","pusan","OK","1904","2012","109","1"
"korea_s","soul","OK","1907","2012","106","3"
"korea_s","taejon","OK","1969","2012","44","1"
"korea_s","yosu","OK","1942","2011","70","2"
"kroatia","gospic","OK","1872","2008","137","15"
"kroatia","hvar","OK","1858","2008","151","22"
"kroatia","osijek","OK","1899","2008","110","5"
"kroatia","split","OK","1948","2008","61","1"
"kroatia","zagreb","OK","1861","2008","148","1"
"kroatia","zavizan","OK","1953","2008","56","2"
"laos","vientiane","ERROR","NA","NA","NA","NA"
