"","stationame_all","Hl","Sd_Hl","Lo_Hl","Hi_Hl","Hc","Hw","SE_Hw","Lo_Hw","Hi_Hw","overlap","Q_Hl","Q_Hw"
"67","UK, Belfast",0.620523607158955,0.0193801507699815,0.587838328245547,0.650429572372944,0.649617418683822,0.66508422805187,0.0164373364467163,0.615772218711721,0.714396237392019,1,-1.30681572658573,-0.267919259729853
"68","UK, Cambridge",0.615822471661121,0.0218588095950376,0.573844353465407,0.645369090035243,0.6781947759429,0.67264524586828,0.015841133322534,0.625121845900678,0.720168645835882,1,-2.03112528271853,-0.726512748071072
"69","UK, Durham",0.625364532508233,0.0189280853956541,0.590828369838978,0.654508857465994,0.697985354057446,0.68555574258618,0.0146903577970939,0.641484669194898,0.729626815977462,1,-2.584180848264,-0.928830411067918
"70","UK, Edinbourg",0.632982617854905,0.0146929234375439,0.594454349844878,0.654746023796446,0.643791101819607,0.669554680393062,0.0130443522028952,0.630421623784376,0.708687737001748,1,-0.942746817063662,0.290972154195405
"71","UK, London",0.61446412712389,0.0170848072246847,0.585651563057126,0.651727743696509,0.721392812721599,0.68553364515412,0.0148593469251047,0.640955604378806,0.730111685929434,1,-3.47918201257047,-1.87679688073029
"72","UK, Plymouth",0.644392875751422,0.0189082510155527,0.613551168280864,0.676359344338405,0.624274348098705,0.676278826924797,0.0166491794215666,0.626331288660097,0.726226365189497,1,-0.634572415631649,0.299765103413711
"73","USA, Atlanta",0.607342685700544,0.0204938513229148,0.567278521395366,0.637080541042863,0.632098739252151,0.64076028064532,0.0163221886348539,0.591793714740758,0.689726846549882,1,-0.908884141857964,-0.244779748754732
"74","USA, Bismarck",0.597617450135923,0.0147791373436956,0.57037165044809,0.624216244616314,0.65486176327968,0.640340711255388,0.0163206835283702,0.591378660670277,0.689302761840499,1,-1.23433818228676,-0.481419381005873
"75","USA, Boise",0.616341057159655,0.0212872812011305,0.571922055933713,0.646367987554854,0.654363772684193,0.656313593839966,0.0163714330816877,0.607199294594903,0.705427893085029,1,-1.29953682188962,-0.420677658405024
"76","USA, Boston",0.617194657175857,0.0169248123700878,0.584113866783606,0.64265940894701,0.693439100267466,0.670302902501467,0.0164181437974115,0.621048471109232,0.719557333893701,1,-1.91955275890809,-0.735683159369592
"77","USA, Chattanooga",0.617327836303782,0.0240520726531001,0.569797302288609,0.651323828573503,0.637059797553695,0.647389469922564,0.0163405434769692,0.598367839491656,0.696411100353472,1,-0.854563905942277,-0.187567034138774
"78","USA, Cincinatti",0.614208110087438,0.0179228168584072,0.57541864895581,0.646759579338216,0.65553505791097,0.644810173419057,0.0163417842442675,0.595784820686254,0.69383552615186,1,-1.09022852175586,-0.447273270382426
"79","USA, Columbus",0.600505179239172,0.0215841708869988,0.56178425617885,0.638937800092128,0.629180340158862,0.630620987674623,0.0162801077058125,0.581780664557186,0.679461310792061,1,-0.865902303337705,-0.319843569936277
"80","USA, Concord",0.607810619810647,0.0155557669931996,0.579921655951373,0.634332383697027,0.68709546521094,0.662186045947944,0.0163912869875024,0.613012184985437,0.711359906910451,1,-1.97323050351344,-0.900186168364489
"81","USA, Des Moines",0.603569021596418,0.0204560213086026,0.56857695940463,0.636376354656993,0.625598057843013,0.631980431562082,0.0162851273861115,0.583125049403747,0.680835813720416,1,-0.734104767078185,-0.198655178228733
"82","USA, Detroit",0.613570824946618,0.0189640188025949,0.577668732927229,0.641452239718526,0.658634583231437,0.653345670807803,0.0163612535492189,0.604261910160146,0.70242943145546,1,-1.1960370597211,-0.344919660630352
"83","USA, Dodge City",0.581524965427437,0.0209165174579917,0.545923335442902,0.615244324539912,0.626331044670206,0.61124449646619,0.0162112854368389,0.562610640155673,0.659878352776707,1,-0.776040180703283,-0.365207755372651
"84","USA, Fargo",0.608229543020135,0.0191575406897587,0.571300093153638,0.632561349335404,0.655939615380891,0.655068355924735,0.0163671714949205,0.605966841439973,0.704169870409497,1,-1.41987077188753,-0.469212168428741
"85","USA, Galveston",0.645924975532962,0.0188305579425694,0.610052980504172,0.68478878596334,0.662101684493328,0.68808770281426,0.0165216900403483,0.638522632693215,0.737652772935305,1,-1.33446210799432,-0.0741035644793183
"86","USA, Indianapolis",0.594258967699797,0.0188501188088208,0.563897559316508,0.628755758307814,0.610912054017588,0.622013087778956,0.016247820870049,0.573269625168809,0.670756550389103,1,-0.666366491191263,-0.194778808314055
"87","USA, Jacksonville",0.620541708746191,0.0223348742559056,0.572678512376644,0.658723984345389,0.607829769764749,0.650855581771529,0.0163629824332823,0.601766634471682,0.699944529071376,1,-0.723443396625005,-0.0208888933383754
"88","USA, Knoxville",0.592373708192066,0.0191089076463549,0.556763935991224,0.624222237127832,0.624486044227698,0.629576938446083,0.0162813813139502,0.580732794504232,0.678421082387934,1,-0.92597452911162,-0.306971322743452
"89","USA, Las Vegas",0.615659826013612,0.0168827604508381,0.583607843403829,0.64149475201408,0.642899405294777,0.646819069392151,0.0172024218165404,0.59521180394253,0.698426334841772,1,-0.932541944203086,-0.293296951606367
"90","USA, Madison",0.609447230242478,0.0188787919137186,0.575665901575095,0.642437191755658,0.641397661479209,0.64747761293389,0.016340856417519,0.598455043681333,0.696500182186447,1,-1.00884183874625,-0.224336475217373
"91","USA, Marquette",0.630274554846252,0.0180346090255895,0.600150904822841,0.673556912929969,0.688414668441588,0.686039108708822,0.016631966007705,0.636143210685707,0.735935006731937,1,-2.11802043055883,-0.693845952805902
"92","USA, Milwaukee",0.6248980705611,0.0169982943573292,0.586310366019388,0.647403695983466,0.68940688253021,0.675831293484816,0.0164360442628656,0.626523160696219,0.725139426273413,1,-1.86035990284706,-0.626558437292655
"93","USA, Mobile",0.62402677063746,0.0178996260485712,0.588103938355348,0.655049011206509,0.617035821582919,0.650931544411691,0.0163529097512514,0.601872815157937,0.699990273665445,1,-0.637853991435156,0.00469250881669144
"94","USA, Nashville",0.588852863988242,0.0190673413323968,0.558682425208804,0.61838034039071,0.581444977120305,0.603021559903411,0.0161784922083285,0.554486083278426,0.651557036528396,1,-0.382044856649153,-0.166067982501623
"95","USA, New Orleans",0.643755200562281,0.0203712505675991,0.606357727854905,0.677229121443416,0.696140753681698,0.695454716335107,0.0165128280792834,0.645916232097257,0.744993200572957,1,-2.13221106353286,-0.634128251619738
"96","USA, New York",0.629440377534265,0.0185137300782145,0.598782855776415,0.661650719199355,0.745108549818609,0.698517049046005,0.0139228244886783,0.65674857557997,0.74028552251204,1,-4.21142511610333,-2.24402232275963
